,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
111459,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3949,26.131,26.3949,02-Jan-2013
111460,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.484,26.2192,26.484,03-Jan-2013
111461,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.5141,26.249,26.5141,04-Jan-2013
111462,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.4447,26.1803,26.4447,07-Jan-2013
111463,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.4464,26.1819,26.4464,08-Jan-2013
111464,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.374,26.1103,26.374,09-Jan-2013
111465,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.359,26.0954,26.359,10-Jan-2013
111466,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.19,25.9281,26.19,11-Jan-2013
111467,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.5509,26.2854,26.5509,14-Jan-2013
111468,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.6893,26.4224,26.6893,15-Jan-2013
111469,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3868,26.1229,26.3868,16-Jan-2013
111470,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.5218,26.2566,26.5218,17-Jan-2013
111471,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.5382,26.2728,26.5382,18-Jan-2013
111472,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.5643,26.2987,26.5643,21-Jan-2013
111473,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3621,26.0985,26.3621,22-Jan-2013
111474,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3331,26.0698,26.3331,23-Jan-2013
111475,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.0893,25.8284,26.0893,24-Jan-2013
111476,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3616,26.098,26.3616,25-Jan-2013
111477,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.3962,26.1322,26.3962,28-Jan-2013
111478,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.2464,25.9839,26.2464,29-Jan-2013
111479,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.2368,25.9744,26.2368,30-Jan-2013
111480,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.2525,25.99,26.2525,31-Jan-2013
111481,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.1911,25.9292,26.1911,01-Feb-2013
111482,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,26.0077,25.7476,26.0077,04-Feb-2013
111483,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.8173,25.5591,25.8173,05-Feb-2013
111484,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.8526,25.5941,25.8526,06-Feb-2013
111485,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.7616,25.504,25.7616,07-Feb-2013
111486,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.5776,25.3218,25.5776,08-Feb-2013
111487,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.5535,25.298,25.5535,11-Feb-2013
111488,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.6518,25.3953,25.6518,12-Feb-2013
111489,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.662,25.4054,25.662,13-Feb-2013
111490,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.4258,25.1715,25.4258,14-Feb-2013
111491,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.3786,25.1248,25.3786,15-Feb-2013
111492,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.4657,25.211,25.4657,18-Feb-2013
111493,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.6975,25.4405,25.6975,19-Feb-2013
111494,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.6629,25.4063,25.6629,20-Feb-2013
111495,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.2194,24.9672,25.2194,21-Feb-2013
111496,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.255,25.0024,25.255,22-Feb-2013
111497,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.19,24.9381,25.19,25-Feb-2013
111498,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.8285,24.5802,24.8285,26-Feb-2013
111499,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.0423,24.7919,25.0423,27-Feb-2013
111500,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.5224,24.2772,24.5224,28-Feb-2013
111501,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.7051,24.458,24.7051,01-Mar-2013
111502,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.5369,24.2915,24.5369,04-Mar-2013
111503,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.9275,24.6782,24.9275,05-Mar-2013
111504,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.1128,24.8617,25.1128,06-Mar-2013
111505,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.3154,25.0622,25.3154,07-Mar-2013
111506,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.6434,25.387,25.6434,08-Mar-2013
111507,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.6605,25.4039,25.6605,11-Mar-2013
111508,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.5403,25.2849,25.5403,12-Mar-2013
111509,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.261,25.0084,25.261,13-Mar-2013
111510,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.5187,25.2635,25.5187,14-Mar-2013
111511,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.2916,25.0387,25.2916,15-Mar-2013
111512,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,25.111,24.8599,25.111,18-Mar-2013
111513,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.7132,24.4661,24.7132,19-Mar-2013
111514,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.3813,24.1375,24.3813,20-Mar-2013
111515,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.2434,24.001,24.2434,21-Mar-2013
111516,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.1785,23.9367,24.1785,22-Mar-2013
111517,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.087,23.8461,24.087,25-Mar-2013
111518,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.1281,23.8868,24.1281,26-Mar-2013
111519,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.3479,24.1044,24.3479,28-Mar-2013
111520,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.4466,24.2021,24.4466,01-Apr-2013
111521,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.6381,24.3917,24.6381,02-Apr-2013
111522,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,24.34,24.0966,24.34,03-Apr-2013
111523,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,23.9412,23.7018,23.9412,04-Apr-2013
111524,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,23.9296,23.6903,23.9296,05-Apr-2013
111525,119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,23.9109,23.6718,23.9109,08-Apr-2013
